Nr Code,Variable Name,Section TT
NR25,,Piedziņa
NR26,4X4 pilna laika (4WD / AWD),
NR27,,Ārējais Izskats -  Izskats/Stils
NR28,Krāsa – metāliska kā standarta,
NR29,,Ārējais Izskats -  Funkcionalitāte
NR30,Durvju spoguļi - elektriski/sildāmi,
NR31,Durvju spoguļi - elektriski/sildāmi/salokāmi,
NR32,Durvju spoguļi - elektriski/sildāmi/salokāmi ar atmiņu,
NR33,,Priekšējie Vējstikla Tīrītāji -  Automātiski
NR34,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,
NR35,Apsildāms vējstikls,
NR36,Bagāžnieka durvis - Elektriski atveramas,
NR37,Bagāžnieka durvis - Elektriski atveramas ar bezroku vadību,
NR38,Jumta sliedes,
NR39,Priekšējais bagāžnieks,
NR40,Panorāmas jumts,
NR41,,Ārējais Izskats -  Apgaismojums
NR42,Dienas gaitas lukturi - LED,
NR43,Priekšējie miglas lukturi - LED,
NR44,Priekšējie miglas lukturi – LED integrēti,
NR45,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana,
NR46,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,
NR47,Priekšējie lukturi – LED,
NR48,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,
NR49,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,
NR50,,Interjers – Komforts/Ērtības
NR51,Gaisa kondicionētājs – EATC 1 zona,
NR52,Gaisa kondicionētājs – EATC 2 zonas,
NR53,Gaisa kondicionētājs – EATC 3 zonas,
NR54,Salona gaisa attīrītājs,
NR55,Centrālā konsole ar roku balstu,
NR56,Apgaismojums – salons ar daudzkrāsu LED,
NR57,Automātiski tumšojams salona spogulis,
NR58,Elektrības pieslēgums – aizmugurē,
NR59,Bezvadu uzlāde,
NR60,,Interjers – In Car Entertainment/Komunikācijas
NR61,Zīmola skaņas sistēma ar vairāk nekā 6 skaļruņiem,
NR62,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 8""",
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 10""",
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 12""",
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,
NR66,Navigācijas centrs,
NR67,Navigācijas centrs - savienots,
NR68,Android Auto un Apple CarPlay,
NR69,Android Auto un Apple CarPlay - bezvadu,
NR70,Vieds palīgs ar AI,
NR71,Head - Up displejs,
NR72,,Interjers -  Instrumenti/Vadības Elementi
NR73,Apsildāms stūres rats,
NR74,Ādas stūres rats,
NR75,"Digitālais displejs – līdz 8,9 collas",
NR76,"Digitālais displejs 9–11,9 collas",
NR77,Digitālais displejs 12+ collas,
NR78,,Interjers -  Sēdekļi
NR79,Apsildāms vadītāja sēdeklis,
NR80,Apsildāms pasažiera sēdeklis,
NR81,Apsildāmi aizmugurējie sēdekļi,
NR82,Vadītāja sēdekļa jostasvietas regulēšana manuāli,
NR83,Pasažiera sēdekļa jostasvietas regulēšana manuāli,
NR84,Vadītāja sēdekļa jostasvietas regulēšana elektriski,
NR85,Pasažiera sēdekļa jostasvietas regulēšana elektriski,
NR86,Vadītāja sēdekļa elektriska regulēšana,
NR87,Pasažiera sēdekļa elektriska regulēšana,
NR88,Elektriski regulējams vadītāja sēdeklis ar atmiņu,
NR89,Elektriski regulējams pasažiera sēdeklis ar atmiņu,
NR90,Sēdekļu apdare - audums/sintētiska āda,
NR91,Sēdekļu apdare - Alcantara/sintētiska āda,
NR92,Sēdekļu apdare - sintētiska āda,
NR93,,Interjers -  Vadītāja Palīdzības Tehnoloģijas
NR94,Automātiskā parkošanās sistēma,
NR95,Aklās zona uzraudzība,
NR96,Aklās zona uzraudzība ar krustojuma satiksmes brīdinājumu,
NR97,Kruīza kontrole,
NR98,Kruīza kontrole – adaptīvā,
NR99,Kruīza kontrole – adaptīvā Stop&Go,
NR100,Kruīza kontrole – adaptīvā satiksmes sastrēgumu gadījumā,
NR101,"Kruīza kontrole – adaptīvā, balstīta uz navigācijas sistēmu",
NR102,Joslas centrēšana un apdzīšanas palīgs,
NR103,Kamera – priekšējais 360° skats,
NR104,Kamera – aizmugurējais skats,
NR105,Stāvvietas palīgs – priekšējie sensori,
NR106,Stāvvietas palīgs – aizmugurējie sensori,
NR107,,Mehāniskais -  Šasija
NR108,AEBS ar gājēju un velosipēdistu atpazīšanu,
NR109,Sadursmes mīkstināšana - pēc sadursmes,
NR110,Stāvbremze - elektriska,
NR111,,Mehāniskais -  Riteņi/Riepas
NR112,"17"" tērauda riteņi",
NR113,"17"" vieglmetāla riteņi",
NR114,"18"" tērauda riteņi",
NR115,"18"" vieglmetāla riteņi",
NR116,"19"" vieglmetāla riteņi",
NR117,"20"" vieglmetāla riteņi",
NR118,Rezerves ritenis,
NR119,Piekabes āķis,
NR120,,Drošība Un Aizsardzība
NR121,Gaisa spilveni - ceļgaliem,
NR122,Gaisa spilveni - aizkari,
NR123,Gaisa spilveni - sāniem,
NR124,Signalizācija - perimetrs,
NR125,Bezatslēgas iedarbināšana,
NR126,Bezatslēgas ieeja un iedarbināšana,
NR127,,Garantija
NR128,Papildus garantija - 2 gadi,
NR129,Pagarināta garantija – 3 gadi,
NR130,Pagarināta garantija – 4 gadi,
NR131,Pagarināta garantija – 5 gadi,
NR132,Pagarināta garantija – 6 gadi,
NR133,Pagarināta garantija – 7 gadi,
