Nr Code,Variable Name,Section TT
NR23,,Electric Range & Charging
NR24,"Range on a single charge in EV mode (WLTP, km) Value",
NR25,"Memo: Range on a single charge in EV mode (WLTP, km)",
NR26,AC charge speed 0 - 5 Kw,
NR27,AC charge speed 5 - 10 Kw,
NR28,AC charge speed 10 - 20 Kw,
NR29,DC Charging,
NR30,,Driveline
NR31,4X4 Full Time (4WD / AWD),
NR32,,Transmission
NR33,Automatic Transmission,
NR34,,Hybrid Technology
NR35,mHEV,
NR36,FHEV,
NR37,PHEV,
NR38,,Paint
NR39,Metallic paint as standard,
NR40,,Exterior -  Functional
NR41,Door Mirrors - Power/Heated,
NR42,Door Mirrors - Power/Heated/Foldback,
NR43,Front Wipers - Automatic,
NR44,Glass - Tinted w Privacy Rear Side,
NR45,Heated Windshield,
NR46,Liftgate - Power,
NR47,Roof Rails,
NR48,Panorama Roof,
NR49,,Exterior -  Lights
NR50,Daytime Running Lamps - LED,
NR51,Front Fog Lamps - LED,
NR52,Front Fog Lamps - LED Integrated,
NR53,Headlamp Control - Automatic On/Off,
NR54,Headlamp Control - Automatic On/Off & High/Low Beam,
NR55,Headlamps - LED,
NR56,Headlamps - Adaptive LED w/o Matrix or Glare Free,
NR57,Headlamps - Adaptive LED w/ Matrix or Glare Free,
NR58,,Interior -  Comfort/Convenience
NR59,A/C,
NR60,A/C - EATC 1 Zone,
NR61,A/C - EATC 2 Zone,
NR62,A/C - EATC 3 Zone,
NR63,Cabine air purifier,
NR64,Ambient Lighting - Interior w/ Multi Colour LED,
NR65,Centre Console w Armrest,
NR66,Auto - Dimming Interior Mirror,
NR67,12V in the luggage compartment,
NR68,Wireless Charging,
NR69,,Interior -  Ice/Communications
NR70,"Multi - function Touchscreen - 6 - 7,9""",
NR71,"Multi - function Touchscreen - 8 - 9,9""",
NR72,"Multi - function Touchscreen - 10 - 11,9""",
NR73,"Multi - function Touchscreen - 12 - """,
NR74,Branded Audio System,
NR75,Navigation Centre,
NR76,Navigation Centre - Connected,
NR77,Android Auto & Apple CarPlay,
NR78,Android Auto & Apple CarPlay - Wireless,
NR79,Smart Assistent w/ AI,
NR80,Emergency Call,
NR81,Head - Up Display,
NR82,,Interior -  Instruments/Controls
NR83,Heated Steering Wheel,
NR84,Leather (incl. Sensico) Steering Wheel,
NR85,"Digital Cluster - 8.9""",
NR86,"Digital Cluster 9"" - 11.9""",
NR87,"Digital Cluster 12+""",
NR88,,Interior -  Seats
NR89,Heated Driver Seat,
NR90,Heated Passenger Seat,
NR91,Heated Rear Seats,
NR92,Lumbar Adjustment on Driver Seat Manual,
NR93,Lumbar Adjustment on Passenger Seat Manual,
NR94,Lumbar Adjustment on Driver Seat Power,
NR95,Lumbar Adjustment on Passenger Seat Power,
NR96,Power Driver Seat Adjustment,
NR97,Power Passenger Seat Adjustment,
NR98,Power Driver Seat Adjustment w/ Memory,
NR99,Power Passenger Seat Adjustment w/ Memory,
NR100,Seat Trim - Cloth/ Synthetic Leather,
NR101,Seat Trim - Alcantara/Synthetic Leather,
NR102,Seat Trim - Synthetic Leather,
NR103,,Interior -  Driver Assistance Technologies
NR104,Automated Parking System,
NR105,Blind Spot Monitoring,
NR106,Blind Spot Monitoring with Cross Traffic Alert,
NR107,Cruise Control,
NR108,Cruise Control - Adaptive,
NR109,Cruise Control - Adaptive Stop&Go,
NR110,Cruise Control - Adaptive Trafic Jam,
NR111,Cruise Control - Adaptive Navi - based,
NR112,Lane Centering and Overtaking assist,
NR113,Camera - Front 360° View,
NR114,Camera - Rear 180° View,
NR115,Parking Aid - Front Sensors,
NR116,Parking Aid - Rear Sensors,
NR117,,Mechanical -  Chassis
NR118,AEBS w Pedestrian & Cyclist Detection,
NR119,Collision Mitigation - Post Impact (2nd Collision),
NR120,Parking Brake - Electric,
NR121,Mechanical - Wheels/Tyres,
NR122,"16"" Steel Wheels",
NR123,"16"" Alloy Wheels",
NR124,"17"" Steel Wheels",
NR125,"17"" Alloy Wheels",
NR126,"18"" Steel Wheels",
NR127,"18"" Alloy Wheels",
NR128,"19"" Alloy Wheels",
NR129,Spare Wheel,
NR130,Wheel Cover,
NR131,,Safety & Security
NR132,Airbags - Knee or Center,
NR133,Airbags - Curtain,
NR134,Airbags - Side,
NR135,Alarm - Perimeter,
NR136,Keyless Start,
NR137,Keyless Entry,
NR138,,Warranty
NR139,Extended Warranty - 2 Years,
NR140,Extended Warranty - 3 Years,
NR141,Extended Warranty - 4 Years,
NR142,Extended Warranty - 5 Years,
NR143,Extended Warranty - 6 - Years,
NR144,Extended Warranty - 7 Years,
NR145,Extended Warranty - 10 Years,
