Nr Code,Variable Name,Section TT
NR25,V2L funkcija,
NR26,Siltumsūknis,
NR27,,Piedziņas Sistēma
NR28,4X4 pilna laika (4WD / AWD),
NR29,,Ārējais Izskats -  Izskats/Stils
NR30,Krāsa - Metāliska (standarta),
NR31,,Ārējais Izskats -  Funkcionalitāte
NR32,Durvju spoguļi - Elektriski/sildāmi,
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,
NR35,Priekšējie vējstikla tīrītāji - Automātiski,
NR36,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,
NR37,Apsildāms vējstikls,
NR38,Bagāžnieka durvis - Elektriskas,
NR39,Bagāžnieka durvis - Elektriskas ar bezroku vadību,
NR40,Jumta sliedes,
NR41,Priekšējais bagāžnieks,
NR42,Panorāmas jumts,
NR43,,Ārējais Izskats -  Apgaismojums
NR44,Dienas gaitas lukturi - LED,
NR45,Priekšējie miglas lukturi - LED,
NR46,Priekšējie miglas lukturi – LED integrēti,
NR47,Priekšējo lukturu vadība – automātiska,
NR48,Priekšējo lukturu vadība – automātiska augsta/zema gaisma,
NR49,Priekšējie lukturi – LED,
NR50,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,
NR51,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,
NR52,,Interjers – Komforts/Ērtības
NR53,Gaisa kondicionētājs,
NR54,Gaisa kondicionētājs – EATC 2 zonas,
NR55,Gaisa kondicionētājs – EATC 3 zonas,
NR56,Salona gaisa attīrītājs,
NR57,Apgaismojums – salons ar daudzkrāsu LED,
NR58,Centrālā konsole ar roku balstu,
NR59,Automātiski tumšojams salona spogulis,
NR60,12 V bagāžas nodalījumā,
NR61,Bezvadu uzlāde,
NR62,Interjers – In car entertainment/komunikācijas,
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 9,9""",
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 11,9""",
NR66,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,
NR67,Zīmola audio sistēma,
NR68,Navigācijas centrs,
NR69,Navigācijas centrs - savienots,
NR70,Android Auto un Apple CarPlay,
NR71,Android Auto un Apple CarPlay - bezvadu,
NR72,Vieds palīgs ar AI,
NR73,Head - Up displejs,
NR74,,Interjers -  Instrumenti/Vadības Elementi
NR75,Apsildāms stūres rats,
NR76,Ādas stūres rats,
NR77,"Digitālais displejs – līdz 8,9""",
NR78,"Digitālais displejs 9“ - 11,9”",
NR79,"Digitālais displejs 12+""",
NR80,, Interjers -  Sēdekļi
NR81,Apsildāms vadītāja sēdeklis,
NR82,Apsildāms pasažiera sēdeklis,
NR83,Apsildāmi aizmugurējie sēdekļi,
NR84,Vadītāja sēdekļa jostasvietas regulēšana manuāli,
NR85,Pasažiera sēdekļa jostasvietas regulēšana manuāli,
NR86,Vadītāja sēdekļa jostasvietas regulēšana elektriski,
NR87,Pasažiera sēdekļa jostasvietas regulēšana elektriski,
NR88,Elektriski regulējams vadītāja sēdeklis,
NR89,Elektriski regulējams pasažiera sēdeklis,
NR90,Elektriski regulējams vadītāja sēdeklis ar atmiņu,
NR91,Elektriski regulējams pasažiera sēdeklis ar atmiņu,
NR92,Sēdekļu apdare – audums/sintētiskā āda,
NR93,Sēdekļu apdare – Alcantara/sintētiskā āda,
NR94,Sēdekļu apdare – sintētiskā āda,
NR95,,Interjers – Vadītāja Palīdzības Tehnoloģijas
NR96,Automātiskā stāvvietas sistēma,
NR97,Aklā zona uzraudzība,
NR98,Aklā zona uzraudzība ar šķērssatiksmes brīdinājumu,
NR99,,Kruīza Kontrole
NR100,Kruīza kontrole - adaptīva,
NR101,Kruīza kontrole - adaptīva Stop&Go,
NR102,Kruīza kontrole - adaptīva satiksmes sastrēgumos,
NR103,"Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu",
NR104,Joslas centrs un apdzīšanas palīgs,
NR105,Kamera - priekšējais 360° skats,
NR106,Kamera - aizmugures skats,
NR107,Parkošanās palīgsistēma - priekšējie sensori,
NR108,Parkošanās palīgsistēma - aizmugures sensori,
NR109,,Mehānika -  Šasija
NR110,AEBS ar gājēju un velosipēdistu atpazīšanu,
NR111,AEBS ar gājēju atpazīšanu,
NR112,Sadursmes mīkstināšana - pēc sadursmes,
NR113,Stāvvietas bremze - elektriska,
NR114,,Mehānika -  Riteņi/Riepas
NR115,"17"" tērauda riteņi",
NR116,"17"" vieglmetāla riteņi",
NR117,"18"" tērauda riteņi",
NR118,"18"" vieglmetāla riteņi",
NR119,"19"" tērauda riteņi",
NR120,"19"" vieglmetāla riteņi",
NR121,"20"" tērauda riteņi",
NR122,"20"" vieglmetāla riteņi",
NR123,Rezerves ritenis,
NR124,Piekabes āķis,
NR125,,Drošība Un Aizsardzība
NR126,Gaisa spilveni - ceļgaliem vai centrā,
NR127,Gaisa spilveni - aizkari,
NR128,Gaisa spilveni – sānu,
NR129,Signalizācija – perimetra,
NR130,Bezatslēgas iedarbināšana,
NR131,Bezatslēgas piekļuve un iedarbināšana,
NR132,,Garantija
NR133,Papildus garantija – 3 gadi,
NR134,Papildus garantija – 4 gadi,
NR135,Papildus garantija – 5 gadi,
NR136,Papildus garantija – 6 gadi,
NR137,Papildus garantija – 7 gadi,
NR138,8 gadu akumulatora garantija,
