Nr Code,Variable Name,Section TT
NR23,,Piedziņa
NR24,4X4 pilna laika (4WD / AWD),
NR25,,Pārnesumkārba
NR26,Automātiskā pārnesumkārba,
NR27,,Hibrīda Tehnoloģija
NR28,mHEV,
NR29,FHEV,
NR30,PHEV,
NR31,,Krāsa
NR32,Metāliska krāsa kā standarts,
NR33,,Ārējais Izskats -  Funkcionāls
NR34,Durvju spoguļi - Elektriski/sildāmi,
NR35,Durvju spoguļi - elektriski/sildāmi/nolokāmi,
NR36,Priekšējie vējstikla tīrītāji - automātiski,
NR37,Stikls - tonēts ar privātuma aizsardzību aizmugurē,
NR38,Sildāms vējstikls,
NR39,Bagāžnieka durvis - elektriski atveramas,
NR40,Jumta sliedes,
NR41,Panorāmas jumts,
NR42,,Ārējais Izskats -  Apgaismojums
NR43,Dienas gaitas lukturi - LED,
NR44,Priekšējie miglas lukturi - LED,
NR45,Priekšējie miglas lukturi – LED integrēti,
NR46,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana,
NR47,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,
NR48,Priekšējie lukturi – LED,
NR49,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,
NR50,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,
NR51,,Interjers – Komforts/Ērtības
NR52,Gaisa kondicionētājs,
NR53,Gaisa kondicionētājs - EATC 1 zona,
NR54,Gaisa kondicionētājs - EATC 2 zonas,
NR55,Gaisa kondicionētājs - EATC 3 zonas,
NR56,Salona gaisa attīrītājs,
NR57,Apgaismojums - salons ar daudzkrāsu LED,
NR58,Centrālā konsole ar roku balstu,
NR59,Automātiski tumšojams salona spogulis,
NR60,12 V bagāžas nodalījumā,
NR61,Bezvadu uzlāde,
NR62,,Interjers – In Car Entertainment/Komunikācijas
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 9,9""",
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 11,9""",
NR66,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,
NR67,Zīmola audio sistēma,
NR68,Navigācijas centrs,
NR69,Navigācijas centrs - savienots,
NR70,Android Auto un Apple CarPlay,
NR71,Android Auto un Apple CarPlay - bezvadu,
NR72,Vieds palīgs ar AI,
NR73,Avārijas zvans,
NR74,Head - Up displejs,
NR75,,Salons -  Instrumenti/Vadības Elementi
NR76,Apsildāms stūres rats,
NR77,Ādas (ieskaitot Sensico) stūres rats,
NR78,"Digitālais displejs - 8,9 collas",
NR79,"Digitālais displejs 9“ - 11,9”",
NR80,"Digitālais displejs 12+""",
NR81,,Interjers -  Sēdekļi
NR82,Apsildāms vadītāja sēdeklis,
NR83,Apsildāms pasažiera sēdeklis,
NR84,Apsildāmi aizmugurējie sēdekļi,
NR85,Vadītāja sēdekļa jostasvietas regulēšana manuāli,
NR86,Pasažiera sēdekļa jostasvietas regulēšana manuāli,
NR87,Vadītāja sēdekļa jostasvietas regulēšana elektriski,
NR88,Pasažiera sēdekļa jostasvietas regulēšana elektriski,
NR89,Elektriski regulējams vadītāja sēdeklis,
NR90,Elektriski regulējams pasažiera sēdeklis,
NR91,Elektriski regulējams vadītāja sēdeklis ar atmiņu,
NR92,Elektriski regulējams pasažiera sēdeklis ar atmiņu,
NR93,Sēdekļu apdare – audums/sintētiskā āda,
NR94,Sēdekļu apdare – Alcantara/sintētiskā āda,
NR95,Sēdekļu apdare – sintētiskā āda,
NR96,,Interjers – Vadītāja Palīdzības Tehnoloģijas
NR97,Automātiskā parkošanās sistēma,
NR98,Aklās zona uzraudzība,
NR99,Aklās zona uzraudzība ar šķērssatiksmes brīdinājumu,
NR100,Kruīza kontrole,
NR101,Kruīza kontrole - adaptīva,
NR102,Kruīza kontrole - adaptīva Stop&Go,
NR103,Kruīza kontrole - adaptīva satiksmes sastrēgumos,
NR104,"Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu",
NR105,Joslas centrēšnas un apdzīšanas palīgs,
NR106,Kamera - priekšējais 360° skats,
NR107,Kamera - aizmugurējais skats,
NR108,Parkošanās palīgsistēma – priekšējie sensori,
NR109,Parkošanās palīgsistēma – aizmugurējie sensori,
NR110,,Mehānika – Šasija
NR111,AEBS ar gājēju un velosipēdistu atpazīšanu,
NR112,Sadursmes mīkstināšana –2. sadursme,
NR113,Stāvbremze – elektriska,
NR114,,Mehānika – Rati/Riepas
NR115,"16"" tērauda rati",
NR116,"16"" vieglmetāla rati",
NR117,"17"" tērauda riteņi",
NR118,"17"" vieglmetāla riteņi",
NR119,"18"" tērauda riteņi",
NR120,"18"" vieglmetāla riteņi",
NR121,"19"" vieglmetāla riteņi",
NR122,Rezerves ritenis,
NR123,Riteņu pārsegi,
NR124,,Drošība Un Aizsardzība
NR125,Gaisa spilveni – ceļgaliem vai centrā,
NR126,Gaisa spilveni – aizkari,
NR127,Gaisa spilveni – sānos,
NR128,Signalizācija – perimetrs,
NR129,Bezatslēgas iedarbināšana,
NR130,Bezatslēgas piekļuve,
NR131,,Garantija
NR132,Papildus garantija – 2 gadi,
NR133,Papildus garantija – 3 gadi,
NR134,Papildus garantija – 4 gadi,
NR135,Papildus garantija – 5 gadi,
NR136,Papildus garantija – 6 gadi,
NR137,Papildus garantija – 7 gadi,
NR138,Papildus garantija – 10 gadi,
